x,y,cluster
664159,550946,1
665845,557965,1
597173,575538,1
618600,551446,1
635690,608046,1
588100,557588,1
582015,546191,1
604678,574577,1
572029,518313,1
604737,574591,1
577728,587566,1
602013,574722,1
627968,574625,1
607269,536961,1
603145,574795,1
671919,571761,1
612184,570393,1
600032,575310,1
627912,593892,1
601967,604428,1
591851,569051,1
601444,572693,1
629718,558104,1
661430,603567,1
597551,556737,1
601182,582584,1
562704,570596,1
605107,563429,1
607214,575069,1
568824,570203,1
612485,518009,1
589244,573777,1
625579,551084,1
560237,500154,1
626224,569687,1
610666,551701,1
597428,569940,1
600582,599535,1
604168,555003,1
613871,550423,1
617310,551945,1
625728,579460,1
606300,566708,1
638559,558807,1
582176,630383,1
544056,577786,1
631297,578351,1
561574,621747,1
604973,574773,1
605284,556134,1
617910,592293,1
555904,640401,1
526559,509417,1
603849,572396,1
598634,619900,1
603359,589262,1
657455,567754,1
614279,599251,1
578496,631434,1
645171,595209,1
688015,533535,1
656477,573007,1
540029,563888,1
597418,538362,1
613545,574733,1
628696,542447,1
604157,574191,1
603126,497987,1
605850,533310,1
596179,529556,1
610330,552628,1
598184,531473,1
620438,511694,1
600202,622079,1
603021,577991,1
515612,540643,1
606548,574376,1
593490,623110,1
607084,595500,1
583728,563146,1
616044,533807,1
624452,584622,1
604438,574666,1
625709,660145,1
601376,579831,1
565148,557305,1
639418,537903,1
612799,537497,1
583653,652182,1
599808,596484,1
605250,573272,1
606738,601356,1
611044,571814,1
575440,568511,1
616329,529516,1
605927,572533,1
609286,586782,1
647354,579190,1
606929,571420,1
562920,559223,1
680357,620811,1
707100,601463,1
604294,574368,1
614917,600946,1
611508,503220,1
603789,574474,1
551740,588768,1
546031,570429,1
569197,559307,1
688712,568754,1
604067,574091,1
606809,572101,1
588597,622592,1
613840,534167,1
576263,547239,1
597077,568196,1
601339,571609,1
606011,569426,1
593398,559764,1
593166,622725,1
609796,532982,1
712648,607541,1
585048,505097,1
525967,565687,1
660327,585901,1
607604,573951,1
604001,573587,1
591484,571087,1
613868,585089,1
645464,660478,1
538571,654649,1
555429,604551,1
597620,586226,1
586097,567445,1
545235,539822,1
649088,575733,1
599123,616977,1
563763,559454,1
617717,613939,1
618869,577243,1
567188,560044,1
636628,533309,1
560362,567914,1
595014,632844,1
605876,550640,1
604352,573425,1
600679,599545,1
596891,579476,1
614943,540976,1
604415,571400,1
603698,573585,1
658199,568743,1
598759,582942,1
671269,590258,1
593317,534085,1
657985,453405,1
608557,590278,1
623004,508050,1
601900,569391,1
641031,593074,1
589658,640498,1
567565,573952,1
559078,570088,1
639431,588155,1
566609,537592,1
568570,579335,1
660650,615038,1
667639,571164,1
596796,529933,1
606111,617846,1
616060,590779,1
602873,527864,1
571334,594145,1
602167,543919,1
605100,573307,1
546640,560043,1
585195,555011,1
651740,589474,1
589112,536573,1
582057,543124,1
690968,555952,1
609030,552436,1
632125,541413,1
603445,630598,1
628264,616214,1
