x,y,cluster
453320,606542,1
520651,594591,1
516664,660290,1
570023,570741,1
524035,518443,1
544957,505968,1
503105,577815,1
515747,601704,1
588509,666153,1
533602,584471,1
488815,736618,1
555436,648459,1
525149,598859,1
527235,597804,1
532163,487880,1
456899,535857,1
458240,649408,1
449835,681607,1
536283,664397,1
490765,641584,1
454105,462204,1
452479,733351,1
530851,640929,1
537285,484173,1
517205,604160,1
523280,604275,1
587302,609986,1
474852,625772,1
524603,621588,1
541442,643798,1
533275,597808,1
561366,639125,1
542921,577831,1
535727,568446,1
505281,579015,1
507854,513056,1
519839,594718,1
543050,594144,1
502642,615006,1
457526,658653,1
454100,637822,1
478919,531404,1
525977,595552,1
530335,593501,1
485899,618292,1
520162,606713,1
579754,607506,1
448929,699090,1
519817,600528,1
590437,652317,1
565852,731472,1
530337,609544,1
591664,441477,1
518660,603100,1
543134,515387,1
549643,615815,1
536765,368279,1
490583,447151,1
462095,603185,1
521037,625633,1
517783,448891,1
504286,586215,1
449791,508708,1
505975,574621,1
565315,570709,1
505993,602027,1
481399,639977,1
528705,615540,1
496874,608333,1
509135,610403,1
551495,534129,1
511112,609032,1
540324,654879,1
518523,731755,1
592334,554231,1
458334,717159,1
563760,556793,1
498993,477685,1
461951,676819,1
542473,619633,1
577696,558890,1
528282,454400,1
505044,648336,1
502254,599976,1
540724,612400,1
527173,638401,1
457823,732911,1
556058,641043,1
504892,636062,1
519323,604971,1
552242,597762,1
519915,756868,1
510063,608495,1
465513,529132,1
548305,789860,1
583329,579176,1
556448,580076,1
533866,630754,1
515476,610111,1
523927,561491,1
537745,730727,1
496614,634895,1
532452,620413,1
536056,592316,1
593310,602181,1
496071,641507,1
534472,723007,1
560890,671380,1
587630,603523,1
465477,577209,1
515948,599567,1
568984,508467,1
503169,584319,1
474033,604815,1
547110,635152,1
468222,558458,1
517396,599675,1
530689,605173,1
559197,707148,1
481295,606981,1
500864,602869,1
530677,448636,1
478788,536546,1
575107,605490,1
556865,576259,1
502377,463742,1
560795,506703,1
498930,606521,1
437919,529813,1
478859,605506,1
481130,571932,1
469019,650175,1
550219,511903,1
