x,y,cluster
53920,42968,6
52019,42206,6
52570,42476,6
54220,42081,6
54268,43420,6
52288,42408,6
54436,39727,6
52391,44323,6
54995,43655,6
53761,43403,6
53769,43786,6
52883,41365,6
54448,42846,6
53358,40498,6
54626,43461,6
53751,42326,6
52714,41735,6
53545,43025,6
55281,41180,6
52522,42088,6
53825,42358,6
54951,43538,6
55113,40262,6
53366,41560,6
52425,42226,6
53729,43219,6
54658,41295,6
53236,44502,6
54569,43519,6
55192,40969,6
52661,42382,6
54389,41903,6
54931,42810,6
55003,43219,6
56382,43858,6
54258,44302,6
53785,43039,6
53844,44271,6
53568,38856,6
53300,41958,6
54027,39799,6
54307,44020,6
52648,43224,6
51953,41115,6
56370,40191,6
53655,41979,6
49832,41548,6
54146,41202,6
52375,41772,6
54484,41591,6
51271,41252,6
53894,43780,6
51496,42107,6
55580,41750,6
52235,43593,6
53009,45720,6
52895,40396,6
52314,40370,6
53527,43264,6
51552,42936,6
54356,43953,6
51788,41827,6
53644,44911,6
51526,41555,6
52460,41243,6
52790,40829,6
53560,43487,6
55317,41567,6
54211,42145,6
52736,43734,6
54220,41543,6
55487,40680,6
53164,42365,6
54372,42125,6
52296,42854,6
51853,42724,6
55470,42381,6
55843,43461,6
53041,41762,6
56020,44948,6
54572,42044,6
55615,39213,6
51784,42659,6
54678,42358,6
55264,42101,6
53628,45140,6
51676,41313,6
52069,42197,6
53695,41876,6
52425,41797,6
55562,40697,6
53371,40882,6
53015,43465,6
53484,45006,6
54684,41479,6
52344,45540,8
56100,40476,6
57237,41749,6
52220,40576,6
53611,42444,6
54594,43850,6
51844,42736,6
53038,41204,6
54636,40466,6
52845,43435,6
53530,39504,6
53417,43154,6
55258,43614,6
54519,43642,6
51681,45290,8
49313,41972,6
55194,44097,6
55109,41603,6
53142,43422,6
53656,41913,6
49901,43636,6
53632,43440,6
53989,42372,6
53334,41711,6
53446,41789,6
53340,41575,6
53856,41857,6
54385,42851,6
53719,41851,6
56661,40693,6
54461,41699,6
53281,43550,6
53105,43114,6
51737,40814,6
50511,45158,8
56075,43071,6
55576,41873,6
54356,42479,6
54014,43208,6
54239,41432,6
56462,42733,6
53340,39854,6
55692,42420,6
55367,43043,6
53716,44044,6
51634,41676,6
56679,42675,6
54172,41958,6
51823,40542,6
53576,42596,6
55265,39986,6
52639,41267,6
54347,42795,6
53612,42060,6
53398,43770,6
49899,48712,8
50062,49584,8
49344,47683,8
50670,46231,8
53288,48577,8
52169,49412,8
51152,46601,8
50763,49169,8
49126,46607,8
50904,49470,8
50881,47814,8
53902,49665,8
50462,47490,8
52624,50362,8
51021,48653,8
50826,48127,8
51805,49498,8
52195,49730,8
53579,47959,8
50801,48595,8
51406,49935,8
50128,50181,8
52315,49319,8
51436,48575,8
50422,49794,8
49230,49949,8
50468,48101,8
52922,47579,8
50211,47660,8
50048,46949,8
51858,49406,8
51096,48445,8
49520,49471,8
50393,50758,8
51586,46956,8
54046,46829,8
50415,50077,8
52875,46329,8
50095,50565,8
50470,51527,8
48995,47894,8
53082,48779,8
49852,50340,8
52092,49784,8
50817,50224,8
49486,49476,8
49049,47984,8
48535,46223,8
51012,48233,8
49587,48428,8
52464,47550,8
49969,48068,8
52681,47241,8
52638,48501,8
52221,48520,8
52812,47526,8
49778,47221,8
50719,47508,8
50193,49198,8
50687,48010,8
51946,46605,8
52617,49342,8
52617,49460,8
50676,47882,8
51860,47899,8
48536,49021,8
51504,49603,8
51653,48685,8
48525,47944,8
50002,49200,8
50184,49458,8
53053,49269,8
50042,49853,8
50696,46255,8
50300,48715,8
51437,48623,8
51379,48160,8
51144,47263,8
50876,49734,8
51413,46135,8
50533,49789,8
51135,47611,8
51320,49118,8
52559,52735,8
52221,48011,8
53397,48783,8
51245,50137,8
50507,50951,8
51487,49624,8
48837,48575,8
50652,48996,8
49663,50428,8
49419,45147,8
49601,47857,8
48350,47100,8
48039,50185,8
50893,51127,8
50739,49679,8
52081,49489,8
51496,46588,8
50435,48231,8
51497,47766,8
51939,49800,8
50580,48511,8
49809,50064,8
51722,48853,8
50358,47959,8
50638,48026,8
51885,49564,8
52500,51313,8
53006,51319,8
50172,47860,8
50014,49077,8
48904,50964,8
52581,48207,8
50885,47744,8
51145,51511,8
52560,50814,8
48720,48943,8
50949,48339,8
47763,47492,8
48093,48847,8
50277,49607,8
49807,48319,8
52226,49015,8
52224,49464,8
49725,48980,8
50350,48070,8
50925,48541,8
51546,49680,8
51152,48744,8
49375,48754,8
49329,44378,8
50618,50504,8
49498,47624,8
50908,47596,8
51427,48795,8
53081,49230,8
52021,50652,8
50696,49628,8
51443,48057,8
52385,48925,8
50587,48838,8
48529,46961,8
50929,52530,8
50067,49584,8
52239,50403,8
51380,46816,8
49541,47532,8
49049,50053,8
58870,45226,2
59374,44507,2
59253,49893,3
61300,45277,2
61653,43778,2
59953,45389,2
60861,44796,2
61930,46257,2
58671,45183,2
60593,45861,2
58420,44781,2
61855,46137,2
61133,44700,2
61112,45484,2
63134,47142,2
61235,45053,2
57496,45405,2
60372,44439,2
60705,46366,2
61213,48245,2
58256,46216,2
59183,46253,2
60289,45788,2
59207,45335,2
62701,44788,2
59882,44607,2
61121,48956,3
57415,44881,2
57903,47229,2
59331,42999,2
60571,46112,2
60784,47752,2
58268,45701,2
60763,45925,2
62447,45235,2
60465,48014,2
59590,45610,2
59217,47651,2
62097,44621,2
58634,43703,2
61102,46312,2
61878,47010,2
61314,45663,2
60249,47899,2
59325,48978,3
59029,43137,2
60709,43461,2
57817,45498,2
61299,47746,2
59362,45997,2
62307,45105,2
60231,47183,2
59998,46912,2
60739,45570,2
61708,45883,2
59066,46619,2
58730,46803,2
57717,48281,2
57203,47382,2
58348,48287,2
60470,45476,2
58924,46965,2
58862,46266,2
59400,47672,2
60414,45052,2
61598,45003,2
58813,47990,2
60992,44265,2
59974,44364,2
61145,45932,2
60710,45087,2
58694,46824,2
59850,46681,2
58608,47945,2
58911,46230,2
61417,43176,2
59191,45551,2
58485,43415,2
62141,43026,2
63370,45884,2
58197,44714,2
61331,43082,2
60972,44250,2
60424,43917,2
62171,44736,2
59684,46141,2
60644,45680,2
59411,48115,2
59823,44185,2
62181,49244,3
60035,45759,2
58759,46105,2
60797,47826,2
62939,44089,2
61491,48260,2
62262,46903,2
59795,44489,2
61395,46119,2
58232,46796,2
57976,45578,2
61077,45880,2
61777,47582,2
62496,43916,2
60479,45423,2
58601,47656,2
61032,44031,2
58181,46222,2
59356,45572,2
55896,47225,2
59692,44645,2
60897,44915,2
59337,42941,2
57962,46260,2
57813,45740,2
59822,47324,2
61761,48521,2
61106,45858,2
60987,46482,2
61157,45321,2
61543,46490,2
57516,45058,2
60514,47708,2
58018,42944,2
62275,46474,2
62269,47075,2
59431,46355,2
59818,45806,2
58318,47500,2
60973,43825,2
58218,44486,2
60205,46653,2
60403,46465,2
60188,45957,2
59305,44215,2
60642,46219,2
61794,45089,2
60606,47553,2
61284,45441,2
61676,45255,2
59277,44809,2
59148,47748,2
61285,44544,2
59927,45471,2
59855,45241,2
62672,43501,2
61648,47644,2
61623,44381,2
60987,48401,2
60802,47068,2
61971,46440,2
59182,50285,3
59748,52499,3
58046,53129,3
61496,51630,3
57852,53639,3
