x,y,cluster
58164,813431,9
58160,84514,1
58148,550001,6
58144,822645,9
58134,447299,5
58121,81761,1
58115,328416,4
58109,339124,4
58098,258117,3
58091,323385,4
58090,528875,6
58075,548545,6
58060,833982,9
58043,198394,2
58025,438868,5
58022,862886,9
58016,146859,2
58015,266976,3
57990,482175,5
57983,538929,6
57978,840007,9
57967,136618,2
57967,747135,8
57964,103023,1
57963,817670,9
57962,14520,1
57960,516445,6
57956,574267,6
57950,163350,2
57935,481377,5
57918,358221,4
57899,247449,3
57880,881254,10
57877,357354,4
57876,615207,7
57869,439973,5
57858,814777,9
57846,399048,4
57836,617464,7
57828,536948,6
57821,757008,8
57820,236404,3
57819,348828,4
57806,354616,4
57768,918399,10
57750,371804,4
57742,203488,2
57741,175638,2
57721,546491,6
57706,626683,7
57698,270759,3
57695,116063,1
57695,145518,2
57665,307546,3
57634,513421,6
57626,371788,4
57621,357664,4
57587,369978,4
57571,625025,7
57547,892962,10
57528,342760,4
57506,341974,4
57501,812427,9
57475,340774,4
57474,647352,7
57469,275864,3
57430,806342,9
57421,752503,8
57413,381158,4
57406,931548,10
57390,283286,3
57367,779993,9
57364,210267,2
57360,873478,10
57348,959429,10
57343,761455,8
57334,266688,3
57323,919517,10
57319,144749,2
57304,528677,6
57285,60155,1
57282,330366,4
57278,438549,5
57277,455875,5
57270,814192,9
57267,161979,2
57245,260024,3
57238,591405,7
57233,547275,6
57223,878408,10
57209,692392,8
57209,634681,7
57205,812712,9
57200,322452,4
57192,153203,2
57178,611510,7
57177,250432,3
57175,238910,3
57172,248237,3
57135,514075,6
57132,808209,9
57115,553925,6
57064,820169,9
57061,941072,10
57059,470950,5
57052,260927,3
57043,817814,9
57039,736424,8
57030,540887,6
57019,803510,9
57009,323638,4
57008,347717,4
57003,926109,10
56980,326203,4
56968,45004,1
56966,233726,3
56944,168263,2
56941,660847,7
56928,359357,4
56927,951602,10
56917,840315,9
56913,914756,10
56910,259549,3
56908,297783,3
56905,627711,7
56898,42595,1
56884,438530,5
56880,55336,1
56879,190102,2
56850,795122,9
56847,49930,1
56825,819022,9
56822,178538,2
56782,469850,5
56779,242932,3
56776,261876,3
56768,932706,10
56737,443676,5
56709,541825,6
56693,243890,3
56672,385799,4
56664,439874,5
56664,350580,4
56662,625463,7
56654,346168,4
56638,463481,5
56627,907306,10
56619,71866,1
56604,447935,5
56595,119267,1
56573,196943,2
56572,632967,7
56565,165265,2
56560,856729,9
56551,689035,8
56543,916494,10
56518,72709,1
56517,64915,1
56496,410687,5
56477,516350,6
56477,605042,7
56464,625898,7
56427,442440,5
56425,260576,3
56422,967378,10
56421,683530,8
56418,636434,7
56395,736306,8
56367,349108,4
56360,621186,7
56352,423802,5
56341,342652,4
56331,423620,5
56328,540222,6
56319,88602,1
56278,620127,7
56269,569573,6
56228,884021,10
56223,567808,6
56217,623365,7
56215,318157,4
56161,716761,8
56159,137812,2
56148,605070,7
56146,272692,3
56140,914731,10
56133,96213,1
56090,927137,10
56087,685441,8
56080,574677,6
56071,201211,2
56067,673251,7
56066,233844,3
56053,332655,4
56049,610595,7
56042,736383,8
56039,454830,5
56026,844723,9
56016,366240,4
56015,198947,2
55990,723038,8
55984,191383,2
55969,344245,4
55961,690689,8
55958,544164,6
55952,659824,7
55951,878442,10
55949,92697,1
55946,628231,7
55943,199953,2
55928,914904,10
55896,660104,7
55891,841456,9
55885,353740,4
55881,410108,5
55878,246316,3
55843,203407,2
55837,926804,10
55824,834525,9
55815,96388,1
55800,541978,6
55778,933958,10
55769,88583,1
55755,920335,10
55754,560057,6
55740,296300,3
55727,660293,7
55727,265291,3
55721,69392,1
55716,134368,2
55704,806221,9
55697,300328,3
55693,178245,2
55687,810522,9
55662,247506,3
55654,925638,10
55652,448782,5
55649,506035,6
55638,467218,5
55631,254000,3
55624,234716,3
55613,456136,5
55613,530751,6
55608,267097,3
55606,361001,4
55606,527728,6
55593,821584,9
55590,790148,9
55588,469729,5
55586,266735,3
55572,249568,3
55571,658842,7
55562,925656,10
55557,632857,7
55554,86162,1
55540,53178,1
55540,197156,2
55531,441085,5
55525,894233,10
55507,218076,2
55500,59060,1
55496,361611,4
55493,549397,6
55491,966782,10
55441,166517,2
55440,461268,5
55436,202792,2
55432,810488,9
55430,527424,6
55415,525900,6
55407,256053,3
55406,331327,4
55404,172450,2
55385,836208,9
55382,446674,5
55382,445426,5
55380,166013,2
55375,340375,4
55351,83291,1
55347,170684,2
55346,708719,8
55334,767513,8
55329,240335,3
55306,102168,1
55282,660261,7
55277,826104,9
55252,529283,6
55249,94853,1
55245,629367,7
55200,585401,6
55172,241962,3
55161,382779,4
55160,375742,4
55158,70967,1
55152,55095,1
55147,161881,2
55146,468324,5
55119,737493,8
55117,841429,9
55097,634891,7
55088,883979,10
55085,717059,8
55084,531471,6
55081,264980,3
55062,676852,7
55033,354998,4
55021,266734,3
55012,733605,8
55011,721173,8
54988,387811,4
54972,607431,7
54966,80066,1
54946,644666,7
54935,910796,10
54923,84227,1
54909,427023,5
54909,908651,10
54906,562259,6
54876,271626,3
54868,834185,9
54855,725688,8
54839,368666,4
54839,556844,6
54819,746890,8
54814,329672,4
54793,844651,9
54789,902712,10
54785,69646,1
54775,826249,9
54764,771092,8
54764,637614,7
54758,601740,7
54738,92443,1
54732,67864,1
54728,838767,9
54717,101964,1
54677,245770,3
54655,415076,5
54652,285322,3
54647,889009,10
54588,727094,8
54582,853434,9
54578,253464,3
54553,718331,8
54544,272225,3
54535,739067,8
54526,197963,2
54518,793238,9
54483,736496,8
54458,474371,5
54449,632550,7
54446,574581,6
54446,193256,2
54438,821784,9
54436,346998,4
54425,611396,7
54406,790752,9
54397,352663,4
54397,321999,4
54367,313392,4
54362,610348,7
54345,273648,3
54315,607047,7
54304,725032,8
54292,245975,3
54286,154283,2
54272,718218,8
54264,196637,2
54257,508002,6
54240,162356,2
54224,266765,3
54213,249721,3
54188,91401,1
54186,277315,3
54167,554064,6
54165,940861,10
54134,922386,10
54117,75524,1
54115,276456,3
54108,650551,7
54105,371985,4
54080,815796,9
54078,764998,8
54075,282603,3
54073,644322,7
54071,239840,3
54061,724265,8
54051,550810,6
54049,407194,5
54044,66974,1
54013,252596,3
